Part ID,Supplier,Target OEM,Plant Location,Lead Time (Days),Component Category,Stock Status,Batch Quantity,Unit Cost (INR),Total Batch Value (INR),GST Rate (%),GST Amount (INR),Final Value with GST (INR)
PRT-IND-200000,Bosch India,Bajaj Auto,Jamshedpur,40,Engine Core,Overstocked,1353,"₹4,398.00","₹5,950,494.00",28,"₹1,666,138.32","₹7,616,632.32"
PRT-IND-200001,Bosch India,TVS Motor,Pune,14,Braking System,Overstocked,1662,"₹9,143.00","₹15,195,666.00",28,"₹4,254,786.48","₹19,450,452.48"
PRT-IND-200002,Uno Minda,Bajaj Auto,Jamshedpur,42,Exhaust,Overstocked,1214,"₹48,469.00","₹58,841,366.00",28,"₹16,475,582.48","₹75,316,948.48"
PRT-IND-200003,Bosch India,TVS Motor,Anantapur,42,Braking System,Optimal Stock,630,"₹34,092.00","₹21,477,960.00",28,"₹6,013,828.80","₹27,491,788.80"
PRT-IND-200004,Endurance Tech,Maruti Suzuki,Chennai,44,Suspension,Overstocked,1773,"₹49,918.00","₹88,504,614.00",28,"₹24,781,291.92","₹113,285,905.92"
PRT-IND-200005,Tata AutoComp,Mahindra & Mahindra,Anantapur,39,Transmission,Overstocked,1475,"₹13,022.00","₹19,207,450.00",28,"₹5,378,086.00","₹24,585,536.00"
PRT-IND-200006,Bosch India,Hyundai India,Anantapur,13,Transmission,Optimal Stock,509,"₹12,615.00","₹6,421,035.00",28,"₹1,797,889.80","₹8,218,924.80"
PRT-IND-200007,Uno Minda,TVS Motor,Manesar,41,Transmission,Overstocked,1611,"₹23,851.50","₹38,424,766.50",28,"₹10,758,934.62","₹49,183,701.12"
PRT-IND-200008,Motherson Sumi,Tata Motors,Sanand,31,Transmission,Overstocked,1768,"₹39,654.50","₹70,109,156.00",28,"₹19,630,563.68","₹89,739,719.68"
PRT-IND-200009,Bosch India,Hero MotoCorp,Gurugram,3,Braking System,Reorder Needed,69,"₹10,860.00","₹749,340.00",28,"₹209,815.20","₹959,155.20"
PRT-IND-200010,Mahindra CIE,Maruti Suzuki,Anantapur,20,Transmission,Optimal Stock,587,"₹31,158.50","₹18,290,039.50",28,"₹5,121,211.06","₹23,411,250.56"
PRT-IND-200011,Endurance Tech,TVS Motor,Sanand,8,Braking System,Overstocked,1416,"₹1,265.00","₹1,791,240.00",28,"₹501,547.20","₹2,292,787.20"
PRT-IND-200012,Endurance Tech,Bajaj Auto,Anantapur,34,Engine Core,Optimal Stock,528,"₹23,270.00","₹12,286,560.00",28,"₹3,440,236.80","₹15,726,796.80"
PRT-IND-200013,Endurance Tech,Mahindra & Mahindra,Coimbatore,44,Braking System,Overstocked,1684,"₹9,424.00","₹15,870,016.00",28,"₹4,443,604.48","₹20,313,620.48"
PRT-IND-200014,Endurance Tech,Maruti Suzuki,Jamshedpur,38,Braking System,Reorder Needed,153,"₹44,802.00","₹6,854,706.00",28,"₹1,919,317.68","₹8,774,023.68"
PRT-IND-200015,Bharat Forge,Maruti Suzuki,Manesar,36,Transmission,Overstocked,1486,"₹43,052.00","₹63,975,272.00",28,"₹17,913,076.16","₹81,888,348.16"
PRT-IND-200016,Mahindra CIE,Bajaj Auto,Gurugram,36,Transmission,Reorder Needed,248,"₹10,603.50","₹2,629,668.00",28,"₹736,307.04","₹3,365,975.04"
PRT-IND-200017,Tata AutoComp,TVS Motor,Bengaluru,20,Braking System,Optimal Stock,952,"₹44,674.50","₹42,530,124.00",28,"₹11,908,434.72","₹54,438,558.72"
PRT-IND-200018,Tata AutoComp,Maruti Suzuki,Manesar,42,Exhaust,Optimal Stock,843,"₹47,043.00","₹39,657,249.00",28,"₹11,104,029.72","₹50,761,278.72"
PRT-IND-200019,Bharat Forge,TVS Motor,Pithampur,41,Engine Core,Optimal Stock,510,"₹43,350.00","₹22,108,500.00",28,"₹6,190,380.00","₹28,298,880.00"
PRT-IND-200020,Bharat Forge,Bajaj Auto,Anantapur,9,Transmission,Reorder Needed,192,"₹44,736.50","₹8,589,408.00",28,"₹2,405,034.24","₹10,994,442.24"
PRT-IND-200021,Mahindra CIE,Mahindra & Mahindra,Sanand,34,Electrical & Sensor,Optimal Stock,532,"₹21,236.00","₹11,297,552.00",18,"₹2,033,559.36","₹13,331,111.36"
